started
2017-1-15T11.19.29.71	Created parser
2017-1-15T11.19.29.72	Assigned names - going to load data
2017-1-15T11.19.29.72	Loading data
2017-1-15T11.19.29.72	Creating stop words manager
2017-1-15T11.19.29.74	Before big loop
2017-1-15T11.19.29.198	Opening sw stream with some words
2017-1-15T11.19.29.198	finalizing stats
2017-1-15T11.19.29.199	At line '53' in file ''	 Word scientist is in 1 documents
2017-1-15T11.19.29.199	At line '53' in file ''	 Word document is in 1 documents
2017-1-15T11.19.29.199	At line '53' in file ''	 Word overal is in 1 documents
2017-1-15T11.19.29.199	At line '53' in file ''	 Word rationalist is in 1 documents
2017-1-15T11.19.29.199	At line '53' in file ''	 Word conceptu is in 1 documents
2017-1-15T11.19.29.200	At line '53' in file ''	 Word io is in 1 documents
2017-1-15T11.19.29.200	At line '53' in file ''	 Word sovereignti is in 1 documents
2017-1-15T11.19.29.200	At line '53' in file ''	 Word ultim is in 1 documents
2017-1-15T11.19.29.200	At line '53' in file ''	 Word declin is in 1 documents
2017-1-15T11.19.29.200	At line '53' in file ''	 Word decentr is in 1 documents
2017-1-15T11.19.29.201	At line '53' in file ''	 Word federalist is in 1 documents
2017-1-15T11.19.29.201	At line '53' in file ''	 Word virtu is in 1 documents
2017-1-15T11.19.29.201	At line '53' in file ''	 Word fashion is in 1 documents
2017-1-15T11.19.29.201	At line '53' in file ''	 Word twin is in 1 documents
2017-1-15T11.19.29.201	At line '53' in file ''	 Word restor is in 1 documents
2017-1-15T11.19.29.202	At line '53' in file ''	 Word enhanc is in 1 documents
2017-1-15T11.19.29.202	At line '53' in file ''	 Word fit is in 1 documents
2017-1-15T11.19.29.202	At line '53' in file ''	 Word best is in 1 documents
2017-1-15T11.19.29.203	At line '53' in file ''	 Word is is in 1 documents
2017-1-15T11.19.29.203	At line '53' in file ''	 Word one is in 2 documents
2017-1-15T11.19.29.203	At line '53' in file ''	 Word standardbas is in 1 documents
2017-1-15T11.19.29.203	At line '53' in file ''	 Word rulebas is in 1 documents
2017-1-15T11.19.29.203	At line '53' in file ''	 Word sometim is in 1 documents
2017-1-15T11.19.29.203	At line '53' in file ''	 Word forum is in 1 documents
2017-1-15T11.19.29.204	At line '53' in file ''	 Word anyth is in 1 documents
2017-1-15T11.19.29.204	At line '53' in file ''	 Word kontou is in 1 documents
2017-1-15T11.19.29.204	At line '53' in file ''	 Word desuetudo is in 1 documents
2017-1-15T11.19.29.204	At line '53' in file ''	 Word obsolet is in 1 documents
2017-1-15T11.19.29.204	At line '53' in file ''	 Word abrog is in 1 documents
2017-1-15T11.19.29.204	At line '53' in file ''	 Word supersed is in 1 documents
