started
2017-1-15T12.12.9.331	Created parser
2017-1-15T12.12.9.331	Assigned names - going to load data
2017-1-15T12.12.9.331	Loading data
2017-1-15T12.12.9.331	Creating stop words manager
2017-1-15T12.12.9.333	Before big loop
2017-1-15T12.12.14.306	Opening sw stream with some words
2017-1-15T12.12.14.307	finalizing stats
2017-1-15T12.12.14.307	At line '53' in file ''	 Word gail is in 1 documents
2017-1-15T12.12.14.307	At line '53' in file ''	 Word 277297 is in 1 documents
2017-1-15T12.12.14.308	At line '53' in file ''	 Word 134163 is in 1 documents
2017-1-15T12.12.14.308	At line '53' in file ''	 Word 129133 is in 1 documents
2017-1-15T12.12.14.308	At line '53' in file ''	 Word 192065 is in 1 documents
2017-1-15T12.12.14.308	At line '53' in file ''	 Word trasnsnat is in 1 documents
2017-1-15T12.12.14.308	At line '53' in file ''	 Word leicest is in 1 documents
2017-1-15T12.12.14.309	At line '53' in file ''	 Word 5173 is in 1 documents
2017-1-15T12.12.14.309	At line '53' in file ''	 Word 391425 is in 1 documents
2017-1-15T12.12.14.309	At line '53' in file ''	 Word rienner is in 1 documents
2017-1-15T12.12.14.309	At line '53' in file ''	 Word 239287 is in 1 documents
2017-1-15T12.12.14.309	At line '53' in file ''	 Word mondial is in 1 documents
2017-1-15T12.12.14.310	At line '53' in file ''	 Word lorganis is in 1 documents
2017-1-15T12.12.14.310	At line '53' in file ''	 Word saur is in 1 documents
2017-1-15T12.12.14.310	At line '53' in file ''	 Word 642683 is in 1 documents
2017-1-15T12.12.14.310	At line '53' in file ''	 Word 301331 is in 1 documents
2017-1-15T12.12.14.310	At line '53' in file ''	 Word 301 is in 1 documents
2017-1-15T12.12.14.311	At line '53' in file ''	 Word 479498 is in 1 documents
2017-1-15T12.12.14.311	At line '53' in file ''	 Word 527557 is in 1 documents
2017-1-15T12.12.14.311	At line '53' in file ''	 Word 477512 is in 1 documents
2017-1-15T12.12.14.311	At line '53' in file ''	 Word 532566 is in 1 documents
2017-1-15T12.12.14.311	At line '53' in file ''	 Word 15491606 is in 1 documents
2017-1-15T12.12.14.312	At line '53' in file ''	 Word 367397 is in 1 documents
2017-1-15T12.12.14.312	At line '53' in file ''	 Word stepan is in 1 documents
2017-1-15T12.12.14.312	At line '53' in file ''	 Word 420442 is in 1 documents
2017-1-15T12.12.14.312	At line '53' in file ''	 Word kjell is in 1 documents
2017-1-15T12.12.14.312	At line '53' in file ''	 Word shermer is in 1 documents
2017-1-15T12.12.14.312	At line '53' in file ''	 Word 829927 is in 1 documents
2017-1-15T12.12.14.313	At line '53' in file ''	 Word 593627 is in 1 documents
2017-1-15T12.12.14.313	At line '53' in file ''	 Word 139229 is in 1 documents
2017-1-15T12.12.14.313	At line '53' in file ''	 Word 17631848 is in 1 documents
2017-1-15T12.12.14.313	At line '53' in file ''	 Word 242270 is in 1 documents
2017-1-15T12.12.14.313	At line '53' in file ''	 Word comt is in 1 documents
2017-1-15T12.12.14.314	At line '53' in file ''	 Word fmh is in 1 documents
2017-1-15T12.12.14.314	At line '53' in file ''	 Word 845865 is in 1 documents
2017-1-15T12.12.14.314	At line '53' in file ''	 Word 874893 is in 1 documents
2017-1-15T12.12.14.314	At line '53' in file ''	 Word colliermacmillan is in 1 documents
2017-1-15T12.12.14.314	At line '53' in file ''	 Word ernstotto is in 1 documents
2017-1-15T12.12.14.315	At line '53' in file ''	 Word 372 is in 1 documents
2017-1-15T12.12.14.315	At line '53' in file ''	 Word dani is in 1 documents
2017-1-15T12.12.14.315	At line '53' in file ''	 Word 777813 is in 1 documents
2017-1-15T12.12.14.315	At line '53' in file ''	 Word 427460 is in 1 documents
2017-1-15T12.12.14.315	At line '53' in file ''	 Word diplomaci is in 1 documents
2017-1-15T12.12.14.316	At line '53' in file ''	 Word putman is in 1 documents
2017-1-15T12.12.14.316	At line '53' in file ''	 Word 13031320 is in 1 documents
2017-1-15T12.12.14.316	At line '53' in file ''	 Word 245273 is in 1 documents
2017-1-15T12.12.14.316	At line '53' in file ''	 Word morrow is in 1 documents
2017-1-15T12.12.14.316	At line '53' in file ''	 Word ithace is in 1 documents
2017-1-15T12.12.14.317	At line '53' in file ''	 Word messina is in 1 documents
2017-1-15T12.12.14.317	At line '53' in file ''	 Word 3360 is in 1 documents
2017-1-15T12.12.14.317	At line '53' in file ''	 Word 425458 is in 1 documents
2017-1-15T12.12.14.317	At line '53' in file ''	 Word 327334 is in 1 documents
2017-1-15T12.12.14.317	At line '53' in file ''	 Word 549 is in 1 documents
2017-1-15T12.12.14.318	At line '53' in file ''	 Word 445475 is in 1 documents
2017-1-15T12.12.14.318	At line '53' in file ''	 Word natos is in 1 documents
2017-1-15T12.12.14.318	At line '53' in file ''	 Word rediscov is in 1 documents
2017-1-15T12.12.14.318	At line '53' in file ''	 Word 495538 is in 1 documents
2017-1-15T12.12.14.318	At line '53' in file ''	 Word highest is in 1 documents
2017-1-15T12.12.14.318	At line '53' in file ''	 Word 151198 is in 1 documents
2017-1-15T12.12.14.319	At line '53' in file ''	 Word mitteleuropa is in 1 documents
2017-1-15T12.12.14.319	At line '53' in file ''	 Word 327377 is in 1 documents
2017-1-15T12.12.14.319	At line '53' in file ''	 Word 753776 is in 1 documents
